Efficiency,PWR,Torque,Thrust,RPM
0.0592,0.001,0.033,0.047,1000
0.116,0.001,0.033,0.047,1000
0.1703,0.001,0.033,0.046,1000
0.2221,0.001,0.033,0.045,1000
0.2714,0.001,0.033,0.044,1000
0.318,0.001,0.033,0.043,1000
0.3619,0.001,0.033,0.042,1000
0.403,0.001,0.033,0.041,1000
0.4412,0.001,0.033,0.039,1000
0.4766,0.001,0.033,0.038,1000
0.5088,0.001,0.032,0.036,1000
0.5379,0.001,0.032,0.035,1000
0.564,0,0.031,0.033,1000
0.5872,0,0.031,0.031,1000
0.6074,0,0.03,0.03,1000
0.6248,0,0.029,0.028,1000
0.6397,0,0.028,0.026,1000
0.6522,0,0.027,0.024,1000
0.6624,0,0.026,0.022,1000
0.6704,0,0.024,0.02,1000
0.6755,0,0.023,0.018,1000
0.677,0,0.021,0.016,1000
0.6752,0,0.019,0.014,1000
0.6656,0,0.017,0.011,1000
0.6422,0,0.015,0.009,1000
0.5965,0,0.012,0.007,1000
0.5115,0,0.01,0.005,1000
0.3461,0,0.008,0.002,1000
-0.0046,0,0.006,0,1000
0,0.004,0.131,0.193,2000
0.0591,0.004,0.132,0.19,2000
0.1159,0.004,0.132,0.187,2000
0.1702,0.004,0.133,0.184,2000
0.222,0.004,0.133,0.18,2000
0.2713,0.004,0.133,0.177,2000
0.3179,0.004,0.133,0.172,2000
0.3617,0.004,0.133,0.168,2000
0.4028,0.004,0.133,0.163,2000
0.4411,0.004,0.132,0.158,2000
0.4764,0.004,0.131,0.152,2000
0.5087,0.004,0.129,0.146,2000
0.5378,0.004,0.127,0.139,2000
0.564,0.004,0.125,0.132,2000
0.5871,0.004,0.122,0.125,2000
0.6074,0.004,0.12,0.118,2000
0.6248,0.004,0.116,0.111,2000
0.6396,0.004,0.113,0.103,2000
0.6522,0.003,0.108,0.096,2000
0.6624,0.003,0.103,0.088,2000
0.6704,0.003,0.098,0.08,2000
0.6756,0.003,0.091,0.072,2000
0.6771,0.003,0.084,0.063,2000
0.6752,0.002,0.076,0.055,2000
0.6656,0.002,0.068,0.046,2000
0.6421,0.002,0.059,0.037,2000
0.5966,0.002,0.05,0.028,2000
0.5113,0.001,0.04,0.019,2000
0.3455,0.001,0.031,0.009,2000
-0.0056,0.001,0.022,0,2000
0,0.014,0.294,0.434,3000
0.0591,0.014,0.296,0.428,3000
0.1158,0.014,0.298,0.421,3000
0.1701,0.014,0.299,0.414,3000
0.2219,0.014,0.299,0.406,3000
0.2711,0.014,0.3,0.397,3000
0.3177,0.014,0.3,0.388,3000
0.3615,0.014,0.299,0.378,3000
0.4026,0.014,0.298,0.367,3000
0.4408,0.014,0.297,0.355,3000
0.4761,0.014,0.294,0.342,3000
0.5084,0.014,0.291,0.328,3000
0.5375,0.014,0.286,0.313,3000
0.5637,0.013,0.281,0.298,3000
0.5869,0.013,0.276,0.282,3000
0.6071,0.013,0.27,0.266,3000
0.6246,0.012,0.262,0.25,3000
0.6395,0.012,0.254,0.233,3000
0.652,0.012,0.244,0.216,3000
0.6623,0.011,0.233,0.198,3000
0.6704,0.01,0.22,0.18,3000
0.6755,0.01,0.206,0.162,3000
0.6771,0.009,0.19,0.143,3000
0.6753,0.008,0.172,0.123,3000
0.6658,0.007,0.152,0.103,3000
0.6423,0.006,0.132,0.083,3000
0.5965,0.005,0.112,0.063,3000
0.5111,0.004,0.091,0.042,3000
0.3457,0.003,0.07,0.021,3000
-0.0036,0.002,0.05,0,3000
0,0.033,0.525,0.772,4000
0.0591,0.033,0.528,0.762,4000
0.1158,0.034,0.53,0.75,4000
0.1702,0.034,0.532,0.737,4000
0.222,0.034,0.534,0.723,4000
0.2712,0.034,0.534,0.708,4000
0.3178,0.034,0.534,0.691,4000
0.3618,0.034,0.533,0.673,4000
0.4029,0.034,0.531,0.654,4000
0.4413,0.034,0.528,0.633,4000
0.4767,0.033,0.524,0.61,4000
0.5091,0.033,0.517,0.584,4000
0.5385,0.032,0.509,0.558,4000
0.5648,0.032,0.5,0.531,4000
0.5883,0.031,0.49,0.503,4000
0.6088,0.03,0.479,0.475,4000
0.6266,0.03,0.466,0.446,4000
0.6418,0.029,0.451,0.416,4000
0.6547,0.027,0.433,0.385,4000
0.6653,0.026,0.413,0.353,4000
0.6737,0.025,0.39,0.321,4000
0.6791,0.023,0.364,0.288,4000
0.6809,0.021,0.336,0.254,4000
0.6793,0.019,0.304,0.219,4000
0.6701,0.017,0.27,0.184,4000
0.6466,0.015,0.234,0.148,4000
0.6007,0.013,0.198,0.111,4000
0.515,0.01,0.16,0.075,4000
0.3483,0.008,0.123,0.037,4000
-0.004,0.006,0.088,0,4000
0,0.063,0.799,1.208,5000
0.0607,0.064,0.805,1.191,5000
0.1187,0.064,0.81,1.173,5000
0.1741,0.065,0.814,1.153,5000
0.2268,0.065,0.817,1.131,5000
0.277,0.065,0.819,1.107,5000
0.3244,0.065,0.82,1.081,5000
0.3692,0.065,0.818,1.053,5000
0.4112,0.065,0.815,1.022,5000
0.4506,0.064,0.81,0.99,5000
0.4871,0.064,0.803,0.954,5000
0.5209,0.063,0.791,0.914,5000
0.5518,0.062,0.778,0.873,5000
0.5798,0.061,0.763,0.83,5000
0.605,0.059,0.746,0.787,5000
0.6275,0.058,0.727,0.742,5000
0.6472,0.056,0.705,0.696,5000
0.6644,0.054,0.681,0.649,5000
0.6791,0.052,0.652,0.6,5000
0.6911,0.049,0.621,0.551,5000
0.7,0.046,0.586,0.5,5000
0.7057,0.043,0.547,0.448,5000
0.708,0.04,0.503,0.395,5000
0.7061,0.036,0.455,0.341,5000
0.696,0.032,0.404,0.286,5000
0.671,0.028,0.352,0.23,5000
0.6232,0.024,0.297,0.174,5000
0.5343,0.019,0.241,0.116,5000
0.3609,0.015,0.186,0.058,5000
-0.0052,0.011,0.133,-0.001,5000
0,0.107,1.128,1.744,6000
0.0619,0.108,1.139,1.72,6000
0.121,0.109,1.148,1.694,6000
0.1773,0.11,1.155,1.665,6000
0.2308,0.11,1.16,1.634,6000
0.2816,0.111,1.164,1.599,6000
0.3297,0.111,1.165,1.562,6000
0.3751,0.111,1.163,1.521,6000
0.4179,0.11,1.159,1.477,6000
0.4581,0.11,1.152,1.43,6000
0.4956,0.109,1.14,1.379,6000
0.5305,0.107,1.123,1.321,6000
0.5628,0.105,1.102,1.261,6000
0.5923,0.103,1.079,1.2,6000
0.6192,0.1,1.053,1.136,6000
0.6433,0.097,1.024,1.072,6000
0.6649,0.094,0.991,1.005,6000
0.6839,0.091,0.954,0.937,6000
0.7003,0.087,0.913,0.867,6000
0.7138,0.083,0.867,0.795,6000
0.7234,0.078,0.818,0.722,6000
0.7292,0.073,0.763,0.647,6000
0.7321,0.067,0.702,0.57,6000
0.73,0.061,0.636,0.492,6000
0.7193,0.054,0.564,0.413,6000
0.6932,0.047,0.491,0.332,6000
0.6438,0.039,0.414,0.25,6000
0.5517,0.032,0.336,0.168,6000
0.372,0.025,0.259,0.084,6000
-0.0055,0.018,0.185,-0.001,6000
0,0.175,1.579,2.387,7000
0.0608,0.176,1.586,2.354,7000
0.1194,0.177,1.591,2.318,7000
