Efficiency,PWR,Torque,Thrust,RPM
0,0,0.016,0.024,1000
0.0639,0,0.016,0.024,1000
0.1253,0,0.016,0.024,1000
0.1841,0,0.017,0.024,1000
0.2403,0,0.017,0.023,1000
0.2939,0,0.017,0.023,1000
0.345,0,0.017,0.023,1000
0.3934,0,0.017,0.023,1000
0.4392,0,0.018,0.022,1000
0.4822,0,0.018,0.022,1000
0.5224,0,0.018,0.021,1000
0.5597,0,0.018,0.021,1000
0.594,0,0.017,0.02,1000
0.6252,0,0.017,0.019,1000
0.653,0,0.017,0.018,1000
0.6771,0,0.016,0.017,1000
0.6977,0,0.016,0.016,1000
0.715,0,0.015,0.015,1000
0.729,0,0.015,0.014,1000
0.7401,0,0.014,0.013,1000
0.7483,0,0.013,0.012,1000
0.7543,0,0.012,0.01,1000
0.758,0,0.011,0.009,1000
0.7583,0,0.01,0.008,1000
0.7537,0,0.009,0.007,1000
0.7405,0,0.008,0.005,1000
0.7066,0,0.006,0.004,1000
0.6308,0,0.005,0.003,1000
0.4616,0,0.004,0.001,1000
-0.0082,0,0.002,0,1000
0,0.002,0.063,0.095,2000
0.0638,0.002,0.064,0.095,2000
0.1251,0.002,0.066,0.095,2000
0.1837,0.002,0.067,0.094,2000
0.2399,0.002,0.068,0.094,2000
0.2934,0.002,0.069,0.093,2000
0.3444,0.002,0.069,0.092,2000
0.3928,0.002,0.07,0.09,2000
0.4385,0.002,0.07,0.089,2000
0.4814,0.002,0.071,0.087,2000
0.5216,0.002,0.071,0.085,2000
0.5589,0.002,0.07,0.082,2000
0.5933,0.002,0.07,0.079,2000
0.6245,0.002,0.069,0.076,2000
0.6523,0.002,0.068,0.073,2000
0.6765,0.002,0.066,0.069,2000
0.6972,0.002,0.064,0.064,2000
0.7146,0.002,0.062,0.06,2000
0.7287,0.002,0.059,0.055,2000
0.7398,0.002,0.057,0.051,2000
0.7481,0.002,0.054,0.046,2000
0.7542,0.002,0.05,0.041,2000
0.758,0.001,0.046,0.037,2000
0.7583,0.001,0.042,0.032,2000
0.7537,0.001,0.037,0.027,2000
0.7404,0.001,0.031,0.021,2000
0.7063,0.001,0.026,0.016,2000
0.631,0.001,0.02,0.011,2000
0.4567,0,0.014,0.005,2000
-0.0144,0,0.009,0,2000
0,0.007,0.143,0.214,3000
0.0639,0.007,0.145,0.214,3000
0.1251,0.007,0.148,0.213,3000
0.1838,0.007,0.15,0.212,3000
0.24,0.007,0.152,0.211,3000
0.2935,0.007,0.154,0.209,3000
0.3445,0.007,0.156,0.207,3000
0.3929,0.007,0.157,0.204,3000
0.4386,0.008,0.158,0.2,3000
0.4816,0.008,0.159,0.196,3000
0.5217,0.008,0.159,0.191,3000
0.559,0.008,0.158,0.185,3000
0.5933,0.007,0.157,0.179,3000
0.6245,0.007,0.155,0.172,3000
0.6523,0.007,0.152,0.164,3000
0.6765,0.007,0.148,0.154,3000
0.6972,0.007,0.144,0.145,3000
0.7146,0.007,0.139,0.135,3000
0.7287,0.006,0.134,0.125,3000
0.7399,0.006,0.128,0.115,3000
0.7482,0.006,0.121,0.104,3000
0.7544,0.005,0.113,0.094,3000
0.7581,0.005,0.104,0.083,3000
0.7585,0.004,0.094,0.071,3000
0.7537,0.004,0.083,0.06,3000
0.7401,0.003,0.071,0.048,3000
0.7052,0.003,0.058,0.036,3000
0.6284,0.002,0.045,0.024,3000
0.4557,0.002,0.032,0.012,3000
0,0.001,0.02,0,3000
0,0.016,0.254,0.381,4000
0.0638,0.016,0.258,0.38,4000
0.125,0.017,0.263,0.379,4000
0.1837,0.017,0.267,0.377,4000
0.2398,0.017,0.271,0.375,4000
0.2933,0.017,0.275,0.372,4000
0.3443,0.018,0.278,0.368,4000
0.3927,0.018,0.28,0.363,4000
0.4384,0.018,0.282,0.356,4000
0.4814,0.018,0.283,0.349,4000
0.5215,0.018,0.283,0.34,4000
0.5588,0.018,0.282,0.33,4000
0.5932,0.018,0.28,0.319,4000
0.6244,0.018,0.276,0.306,4000
0.6522,0.017,0.271,0.291,4000
0.6765,0.017,0.264,0.275,4000
0.6972,0.016,0.257,0.258,4000
0.7146,0.016,0.248,0.24,4000
0.7288,0.015,0.238,0.223,4000
0.74,0.014,0.228,0.204,4000
0.7483,0.014,0.216,0.186,4000
0.7545,0.013,0.202,0.167,4000
0.7582,0.012,0.185,0.147,4000
0.7586,0.011,0.167,0.127,4000
0.7538,0.009,0.147,0.107,4000
0.7403,0.008,0.126,0.086,4000
0.7053,0.007,0.103,0.065,4000
0.6282,0.005,0.08,0.043,4000
0.4556,0.004,0.058,0.022,4000
0.0008,0.002,0.036,0,4000
0,0.032,0.397,0.595,5000
0.0637,0.032,0.404,0.594,5000
0.1249,0.033,0.411,0.592,5000
0.1835,0.033,0.418,0.589,5000
0.2396,0.034,0.425,0.586,5000
0.2931,0.034,0.43,0.582,5000
0.344,0.035,0.435,0.575,5000
0.3924,0.035,0.439,0.567,5000
0.4382,0.035,0.442,0.558,5000
0.4811,0.035,0.443,0.546,5000
0.5213,0.035,0.443,0.532,5000
0.5587,0.035,0.441,0.516,5000
0.5931,0.035,0.438,0.499,5000
0.6243,0.034,0.433,0.479,5000
0.6522,0.034,0.425,0.456,5000
0.6765,0.033,0.414,0.43,5000
0.6973,0.032,0.402,0.403,5000
0.7147,0.031,0.388,0.376,5000
0.7289,0.03,0.373,0.348,5000
0.7401,0.028,0.357,0.32,5000
0.7485,0.027,0.337,0.291,5000
0.7546,0.025,0.315,0.261,5000
0.7584,0.023,0.29,0.231,5000
0.7587,0.021,0.262,0.199,5000
0.7539,0.018,0.231,0.167,5000
0.7403,0.016,0.196,0.134,5000
0.7052,0.013,0.161,0.101,5000
0.628,0.01,0.126,0.067,5000
0.4552,0.007,0.09,0.034,5000
0,0.005,0.057,0,5000
0,0.054,0.57,0.857,6000
0.0639,0.055,0.58,0.855,6000
0.1251,0.056,0.591,0.853,6000
0.1838,0.057,0.601,0.849,6000
0.2399,0.058,0.61,0.845,6000
0.2934,0.059,0.619,0.839,6000
0.3444,0.06,0.627,0.83,6000
0.3928,0.06,0.632,0.819,6000
0.4385,0.061,0.636,0.805,6000
0.4815,0.061,0.638,0.788,6000
0.5218,0.061,0.638,0.768,6000
0.5592,0.061,0.636,0.746,6000
0.5937,0.06,0.631,0.72,6000
0.6251,0.059,0.624,0.692,6000
0.6533,0.058,0.612,0.659,6000
0.6781,0.057,0.596,0.622,6000
0.6993,0.055,0.578,0.583,6000
0.7174,0.053,0.559,0.544,6000
0.7322,0.051,0.537,0.504,6000
0.7442,0.049,0.512,0.463,6000
0.7534,0.046,0.484,0.421,6000
0.7603,0.043,0.452,0.378,6000
0.7647,0.04,0.416,0.334,6000
0.7655,0.036,0.375,0.288,6000
0.7613,0.031,0.331,0.242,6000
0.7484,0.027,0.282,0.195,6000
0.7141,0.022,0.232,0.147,6000
0.6382,0.017,0.181,0.099,6000
0.4672,0.012,0.13,0.05,6000
0.0155,0.008,0.082,0.001,6000
0,0.084,0.752,1.166,7000
0.0657,0.085,0.768,1.164,7000
0.1284,0.087,0.783,1.16,7000
0.1881,0.089,0.799,1.156,7000
0.2449,0.09,0.814,1.15,7000
0.2988,0.092,0.828,1.142,7000
0.35,0.093,0.84,1.13,7000
0.3984,0.094,0.849,1.115,7000
0.4441,0.095,0.856,1.097,7000
0.487,0.096,0.86,1.074,7000
0.5271,0.096,0.861,1.048,7000
0.5645,0.095,0.859,1.017,7000
0.5991,0.095,0.853,0.983,7000
0.6308,0.094,0.843,0.944,7000
0.6594,0.092,0.828,0.9,7000
0.6849,0.089,0.805,0.849,7000
0.7072,0.087,0.781,0.796,7000
0.7266,0.084,0.753,0.743,7000
0.7428,0.08,0.722,0.688,7000
0.7562,0.076,0.688,0.632,7000
0.7668,0.072,0.649,0.574,7000
0.7749,0.067,0.605,0.515,7000
0.78,0.062,0.556,0.455,7000
0.781,0.056,0.501,0.393,7000
0.7772,0.049,0.441,0.33,7000
0.764,0.042,0.377,0.266,7000
0.7289,0.034,0.31,0.2,7000
0.6514,0.027,0.241,0.134,7000
0.4743,0.019,0.172,0.067,7000
-0.0038,0.012,0.107,0,7000
0,0.121,0.955,1.522,8000
0.0673,0.124,0.977,1.519,8000
0.1313,0.127,0.999,1.515,8000
0.192,0.13,1.022,1.509,8000
0.2494,0.132,1.044,1.502,8000
0.3037,0.135,1.064,1.492,8000
0.355,0.137,1.082,1.477,8000
0.4034,0.139,1.096,1.458,8000
0.449,0.141,1.107,1.435,8000
0.4917,0.141,1.114,1.406,8000
0.5317,0.142,1.117,1.372,8000
0.569,0.142,1.116,1.332,8000
0.6036,0.141,1.109,1.287,8000
0.6355,0.139,1.097,1.237,8000
0.6646,0.137,1.077,1.18,8000
0.6908,0.133,1.047,1.113,8000
0.714,0.129,1.013,1.044,8000
0.7345,0.124,0.976,0.973,8000
0.7521,0.119,0.934,0.901,8000
0.7667,0.113,0.889,0.828,8000
0.7787,0.106,0.837,0.752,8000
0.788,0.099,0.779,0.675,8000
0.7939,0.091,0.715,0.596,8000
0.795,0.082,0.645,0.515,8000
0.7917,0.072,0.568,0.432,8000
0.7782,0.061,0.484,0.348,8000
0.7426,0.051,0.398,0.263,8000
0.6639,0.039,0.31,0.176,8000
0.4839,0.028,0.222,0.088,8000
-0.0039,0.017,0.138,0,8000
0,0.168,1.179,1.926,9000
0.0689,0.173,1.209,1.922,9000
0.134,0.177,1.24,1.918,9000
0.1954,0.181,1.271,1.911,9000
0.2534,0.186,1.301,1.903,9000
0.3079,0.19,1.33,1.891,9000
0.3593,0.193,1.355,1.874,9000
0.4077,0.196,1.376,1.85,9000
0.4532,0.199,1.392,1.821,9000
0.4958,0.2,1.403,1.785,9000
0.5356,0.201,1.408,1.742,9000
0.5728,0.201,1.408,1.692,9000
0.6074,0.2,1.4,1.636,9000
0.6395,0.198,1.384,1.573,9000
0.669,0.194,1.359,1.5,9000
0.6958,0.189,1.32,1.414,9000
0.7199,0.182,1.277,1.327,9000
0.7415,0.175,1.228,1.237,9000
0.7603,0.168,1.174,1.145,9000
0.7761,0.159,1.115,1.051,9000
0.7894,0.15,1.048,0.955,9000
0.7999,0.139,0.974,0.856,9000
0.8066,0.128,0.893,0.756,9000
0.8079,0.115,0.806,0.654,9000
0.8052,0.101,0.71,0.55,9000
0.792,0.086,0.606,0.443,9000
0.7565,0.071,0.498,0.335,9000
0.6777,0.055,0.387,0.224,9000
0.4964,0.039,0.275,0.113,9000
-0.0052,0.024,0.169,-0.001,9000
0,0.24,1.514,2.384,10000
0.0667,0.245,1.546,2.38,10000
0.1303,0.251,1.58,2.375,10000
0.1908,0.256,1.613,2.368,10000
0.2483,0.261,1.647,2.358,10000
0.3028,0.266,1.678,2.344,10000
0.3544,0.271,1.706,2.324,10000
0.4034,0.274,1.727,2.296,10000
0.4498,0.276,1.743,2.26,10000
0.4934,0.278,1.752,2.216,10000
0.5343,0.278,1.755,2.163,10000
0.5726,0.278,1.75,2.101,10000
0.6083,0.275,1.736,2.03,10000
0.6415,0.272,1.714,1.951,10000
0.672,0.267,1.68,1.86,10000
0.6996,0.259,1.63,1.754,10000
0.7242,0.25,1.575,1.645,10000
0.7465,0.24,1.514,1.533,10000
0.766,0.229,1.446,1.419,10000
0.7827,0.217,1.371,1.302,10000
0.7967,0.204,1.287,1.183,10000
0.8082,0.189,1.194,1.06,10000
0.8152,0.174,1.094,0.935,10000
0.8172,0.157,0.986,0.809,10000
0.8146,0.138,0.867,0.679,10000
0.8018,0.117,0.74,0.547,10000
0.7658,0.096,0.607,0.412,10000
0.686,0.075,0.47,0.276,10000
0.5032,0.053,0.335,0.139,10000
0.0003,0.033,0.207,0,10000
0,0.398,2.279,2.918,11000
0.0554,0.398,2.278,2.913,11000
0.1106,0.398,2.279,2.906,11000
0.1654,0.398,2.279,2.897,11000
0.2196,0.398,2.278,2.885,11000
0.2732,0.397,2.276,2.868,11000
0.3261,0.396,2.27,2.844,11000
0.3778,0.394,2.258,2.809,11000
0.4281,0.391,2.241,2.764,11000
0.4762,0.388,2.22,2.709,11000
0.5216,0.383,2.197,2.642,11000
0.564,0.379,2.169,2.565,11000
0.6034,0.373,2.136,2.476,11000
0.6396,0.366,2.096,2.378,11000
0.6724,0.357,2.046,2.265,11000
0.7013,0.346,1.98,2.135,11000
0.7263,0.334,1.913,2.002,11000
0.749,0.321,1.837,1.866,11000
0.769,0.306,1.753,1.727,11000
0.7862,0.29,1.66,1.584,11000
0.8008,0.272,1.558,1.438,11000
0.8129,0.252,1.444,1.289,11000
0.8208,0.231,1.322,1.137,11000
0.8237,0.208,1.19,0.983,11000
0.8221,0.182,1.045,0.825,11000
0.8099,0.155,0.889,0.664,11000
0.7742,0.127,0.728,0.5,11000
0.6936,0.098,0.563,0.333,11000
0.516,0.069,0.398,0.169,11000
0.0013,0.042,0.243,0,11000
0,0.616,3.235,3.512,12000
0.0476,0.607,3.19,3.505,12000
0.0964,0.599,3.145,3.496,12000
0.1464,0.59,3.098,3.485,12000
0.1973,0.581,3.052,3.471,12000
0.2493,0.571,3.002,3.45,12000
0.3021,0.561,2.948,3.422,12000
0.3552,0.55,2.89,3.381,12000
0.4083,0.538,2.827,3.327,12000
0.46,0.526,2.764,3.258,12000
0.5093,0.515,2.705,3.176,12000
0.5555,0.504,2.646,3.081,12000
0.5982,0.493,2.587,2.973,12000
0.6372,0.481,2.524,2.853,12000
0.6722,0.467,2.454,2.716,12000
0.7024,0.451,2.37,2.559,12000
0.7278,0.436,2.287,2.399,12000
0.7509,0.418,2.196,2.236,12000
0.7713,0.399,2.094,2.069,12000
0.7891,0.377,1.983,1.899,12000
0.8044,0.354,1.859,1.724,12000
0.8171,0.328,1.723,1.546,12000
0.826,0.3,1.575,1.363,12000
0.8298,0.27,1.417,1.179,12000
0.8291,0.237,1.243,0.99,12000
0.8186,0.201,1.057,0.798,12000
0.7848,0.165,0.865,0.602,12000
0.7069,0.127,0.667,0.403,12000
0.5249,0.089,0.469,0.203,12000
-0.0002,0.054,0.284,0,12000
0,0.909,4.406,4.165,13000
0.0419,0.888,4.305,4.157,13000
0.0856,0.866,4.2,4.147,13000
0.1314,0.844,4.094,4.133,13000
0.1791,0.822,3.986,4.117,13000
0.2291,0.799,3.874,4.093,13000
0.2811,0.775,3.759,4.06,13000
0.335,0.75,3.638,4.014,13000
0.3898,0.725,3.515,3.949,13000
0.4447,0.7,3.393,3.867,13000
0.4975,0.677,3.284,3.767,13000
0.5471,0.657,3.185,3.653,13000
0.5929,0.638,3.092,3.523,13000
0.6346,0.619,3,3.377,13000
0.6717,0.599,2.905,3.214,13000
0.7033,0.577,2.8,3.026,13000
0.7291,0.557,2.701,2.838,13000
0.7524,0.535,2.592,2.645,13000
0.7734,0.51,2.471,2.448,13000
0.7917,0.482,2.337,2.246,13000
0.8075,0.452,2.19,2.039,13000
0.8209,0.418,2.028,1.828,13000
0.8306,0.382,1.853,1.613,13000
0.8353,0.343,1.665,1.395,13000
0.8356,0.301,1.459,1.171,13000
0.8258,0.255,1.237,0.942,13000
0.7927,0.208,1.01,0.71,13000
0.7158,0.161,0.778,0.476,13000
0.5335,0.113,0.546,0.24,13000
0.0057,0.068,0.329,0.001,13000
0,1.298,5.841,4.883,13999
0.0373,1.258,5.665,4.874,13999
0.0768,1.219,5.487,4.862,13999
0.1189,1.178,5.302,4.845,13999
0.1635,1.137,5.118,4.825,13999
0.2113,1.094,4.923,4.798,13999
0.2619,1.051,4.729,4.761,13999
0.3157,1.006,4.528,4.71,13999
0.3717,0.961,4.327,4.636,13999
0.4292,0.917,4.128,4.539,13999
0.4854,0.877,3.95,4.422,13999
0.5384,0.843,3.796,4.285,13999
0.5873,0.813,3.659,4.129,13999
0.6316,0.784,3.531,3.957,13999
0.6708,0.757,3.406,3.764,13999
0.7036,0.727,3.275,3.542,13999
0.7299,0.701,3.157,3.321,13999
0.7536,0.673,3.028,3.096,13999
0.775,0.641,2.886,2.866,13999
0.7938,0.606,2.729,2.63,13999
0.8102,0.568,2.556,2.388,13999
0.8242,0.525,2.365,2.141,13999
0.8348,0.479,2.158,1.889,13999
0.8404,0.43,1.937,1.632,13999
0.8416,0.376,1.694,1.37,13999
0.8328,0.319,1.435,1.103,13999
0.8007,0.26,1.171,0.831,13999
0.7239,0.2,0.899,0.556,13999
0.5419,0.14,0.629,0.281,13999
0.0002,0.083,0.374,0,13999
0,1.802,7.573,5.665,15000
0.0335,1.739,7.308,5.655,15000
0.0694,1.675,7.037,5.641,15000
0.1081,1.608,6.757,5.622,15000
0.1499,1.54,6.469,5.597,15000
0.1951,1.47,6.177,5.566,15000
0.2441,1.4,5.883,5.525,15000
0.2971,1.329,5.583,5.471,15000
0.3536,1.257,5.281,5.389,15000
0.4128,1.186,4.984,5.278,15000
0.4723,1.122,4.714,5.141,15000
0.5287,1.068,4.487,4.98,15000
0.5807,1.022,4.294,4.798,15000
0.6275,0.981,4.123,4.596,15000
0.6688,0.943,3.962,4.371,15000
0.703,0.905,3.802,4.114,15000
0.7299,0.872,3.663,3.858,15000
0.7539,0.836,3.513,3.597,15000
0.7758,0.796,3.346,3.33,15000
0.7952,0.753,3.162,3.056,15000
0.8123,0.704,2.96,2.776,15000
0.8269,0.652,2.738,2.489,15000
0.8384,0.594,2.497,2.197,15000
0.845,0.533,2.24,1.901,15000
0.8473,0.466,1.959,1.597,15000
0.84,0.395,1.661,1.289,15000
0.81,0.323,1.356,0.976,15000
0.7364,0.248,1.044,0.657,15000
0.5554,0.172,0.722,0.331,15000
0.002,0.1,0.42,0.001,15000
0,2.452,9.66,6.515,16000
0.0303,2.357,9.286,6.503,16000
0.0631,2.26,8.904,6.487,16000
0.0987,2.159,8.506,6.466,16000
0.1376,2.056,8.1,6.438,16000
0.1804,1.95,7.68,6.402,16000
0.2272,1.845,7.266,6.357,16000
0.2788,1.737,6.842,6.297,16000
0.3355,1.628,6.411,6.213,16000
0.3957,1.522,5.995,6.09,16000
0.4587,1.421,5.596,5.931,16000
0.5187,1.338,5.272,5.743,16000
0.5739,1.271,5.005,5.531,16000
0.6233,1.213,4.78,5.295,16000
0.6667,1.162,4.576,5.035,16000
0.7023,1.112,4.38,4.738,16000
0.7298,1.07,4.216,4.443,16000
0.7542,1.026,4.042,4.143,16000
0.7765,0.977,3.849,3.836,16000
0.7964,0.923,3.636,3.521,16000
0.8141,0.864,3.402,3.2,16000
0.8293,0.799,3.146,2.87,16000
0.8417,0.728,2.867,2.535,16000
0.8493,0.653,2.571,2.193,16000
0.8525,0.57,2.246,1.843,16000
0.8455,0.482,1.898,1.483,16000
0.8159,0.393,1.548,1.122,16000
0.7413,0.302,1.189,0.754,16000
0.5577,0.209,0.824,0.379,16000
-0.0071,0.122,0.479,-0.003,16000
0,3.286,12.181,7.435,17000
0.0275,3.148,11.67,7.422,17000
0.0575,3.007,11.15,7.404,17000
0.0903,2.863,10.614,7.38,17000
0.1264,2.715,10.064,7.348,17000
0.1664,2.563,9.502,7.307,17000
0.211,2.409,8.929,7.257,17000
0.2609,2.252,8.35,7.193,17000
0.3167,2.095,7.768,7.107,17000
0.3777,1.94,7.193,6.977,17000
0.4428,1.792,6.642,6.797,17000
0.5077,1.664,6.17,6.581,17000
0.5664,1.566,5.807,6.335,17000
0.6187,1.487,5.512,6.063,17000
0.6642,1.417,5.255,5.762,17000
0.7012,1.354,5.019,5.422,17000
0.7293,1.302,4.826,5.084,17000
0.7541,1.248,4.625,4.742,17000
0.7767,1.188,4.403,4.391,17000
0.7972,1.122,4.158,4.032,17000
0.8155,1.049,3.889,3.664,17000
